puuid,gameName,tagLine,platform,region,sha,twitch_url,opgg_url
"3qlh0uVdvNlEfoRGaF0Ag2Vl1hjJRxwyJBTaQmiscxNo_uCGAXqI4UM8j31oYg5GnOYTlZCsi46-wQ","Mother Fortune","222","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/nickitaylor","https://op.gg/lol/summoners/na/Mother%20Fortune-222"
"ZswIRdOBRZtwUwIGNWH4uCdJ7vKHhJpFf7tYfCHccaCS6WJcgW1fg66ma7Ln4uUmcBrNJoIeisgrCg","KSAY","UWU","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/ariamy","https://op.gg/lol/summoners/euw/KSAY-UWU"
"svp1UKPzVCLMGpvVVUzqrYvfLim7f68fV5e5l_qL1EaHVNRfMwKW0rw6aLmSSyZmBCuMheWH33wcqQ","Shyraa","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/shyraa","https://op.gg/lol/summoners/euw/Shyraa-EUW"
"WJR3gz0vo4uJyd0u13n8ubkGgHrfhpwg5H8SvRKDp4F93HBZDqwW3zZXXXY3nCIKgQhZGe-sH8kQqQ","Itsjustiara69","0604","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/itsjustiara69","https://op.gg/lol/summoners/na/Itsjustiara69-0604"
"WJR3gz0vo4uJyd0u13n8ubkGgHrfhpwg5H8SvRKDp4F93HBZDqwW3zZXXXY3nCIKgQhZGe-sH8kQqQ","Itsjustiara69","0604","americas","OCE","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/itsjustiara69","https://op.gg/lol/summoners/oce/Itsjustiara69-0604"
"Az_tGXuppCJQel__CuR9Q_7AiJ2gYUeb5CWfpn06eQScs9tjEDS7MhrgfX66_KSLCLuOhN-BCHCuYg","SoSleepless","rakan","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/sosleeplessss","https://op.gg/lol/summoners/euw/SoSleepless-rakan"
"w5GOM2SD6SchzUacjTgWYFYZG7y63RgAudJKktQ9urBTUInCRcdatkW8wG7iGpKp5SY7R07L85NuXA","Ponponi","000","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/ponponi","https://op.gg/lol/summoners/euw/Ponponi-000"
"SPS6T6LfI816KnXpHreV1p4FE_KATtZS6rDaiZ8X2bODZ0Et07p2IxVZ7oakdixkN7K7vR373KrC3w","Purple Pixie","lol","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/purplepixie_lol","https://op.gg/lol/summoners/euw/Purple%20Pixie-lol"
"HdV1Syi2O976Y6dRWlmGMC_cay7vjw38cIvRrnC640z2qz_zvpMSW3W15tH5fFI4MH7xdgy0HORn4w","ddomukja","NA1","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/ddomukja","https://op.gg/lol/summoners/na/ddomukja-NA1"
"ArngFWcjmOPh2xWEz36rMuMJFxLPrkIe6RFcLiRc_vrLTtDnAwu2ZvoKZPG-_YBojSxTwrKsMqB2nQ","Synthetica","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/syntheticatv","https://op.gg/lol/summoners/euw/Synthetica-EUW"
